,baseline,small_lstm,small_gru
32,0.3466666638851166,0.2800000011920929,0.3733333349227905
64,0.4266666769981384,0.3199999928474426,0.36000001430511475
128,0.6133333444595337,0.4266666769981384,0.4933333396911621
256,0.47999998927116394,0.4266666769981384,0.4000000059604645
512,0.4533333480358124,0.4933333396911621,0.3733333349227905
