,baseline,small_lstm,small_gru
32,0.5131579041481018,0.4736842215061188,0.43421053886413574
64,0.43421053886413574,0.42105263471603394,0.4736842215061188
128,0.34210526943206787,0.46052631735801697,0.3552631437778473
256,0.42105263471603394,0.40789473056793213,0.40789473056793213
512,0.43421053886413574,0.42105263471603394,0.40789473056793213
